starttime	seconds	ctime	dtime	ttime	wait
Sat Sep 24 23:28:56 2022	1664051336	2	22	24	22
Sat Sep 24 23:28:56 2022	1664051336	0	25	25	20
Sat Sep 24 23:28:56 2022	1664051336	2	28	30	27
Sat Sep 24 23:28:56 2022	1664051336	2	101	103	99
Sat Sep 24 23:28:56 2022	1664051336	2	121	124	121
Sat Sep 24 23:28:56 2022	1664051336	2	139	141	138
Sat Sep 24 23:28:56 2022	1664051336	2	139	141	139
Sat Sep 24 23:28:56 2022	1664051336	2	150	152	149
Sat Sep 24 23:28:56 2022	1664051336	2	156	158	156
Sat Sep 24 23:29:10 2022	1664051350	0	169	169	169
Sat Sep 24 23:28:56 2022	1664051336	2	170	173	170
Sat Sep 24 23:28:56 2022	1664051336	2	174	176	173
Sat Sep 24 23:28:56 2022	1664051336	2	214	216	213
Sat Sep 24 23:28:56 2022	1664051336	2	215	217	215
Sat Sep 24 23:28:56 2022	1664051336	3	217	220	216
Sat Sep 24 23:28:56 2022	1664051336	3	221	224	221
Sat Sep 24 23:28:56 2022	1664051336	2	226	228	225
Sat Sep 24 23:28:56 2022	1664051336	2	241	243	241
Sat Sep 24 23:28:56 2022	1664051336	3	241	244	241
Sat Sep 24 23:28:56 2022	1664051336	2	257	259	256
Sat Sep 24 23:28:56 2022	1664051336	2	257	259	252
Sat Sep 24 23:28:56 2022	1664051336	2	260	262	258
Sat Sep 24 23:28:56 2022	1664051336	2	261	263	260
Sat Sep 24 23:28:56 2022	1664051336	2	270	272	269
Sat Sep 24 23:29:00 2022	1664051340	0	277	277	276
Sat Sep 24 23:28:56 2022	1664051336	2	296	298	295
Sat Sep 24 23:28:56 2022	1664051336	2	299	301	298
Sat Sep 24 23:28:56 2022	1664051336	2	314	316	313
Sat Sep 24 23:28:56 2022	1664051336	2	327	329	326
Sat Sep 24 23:28:56 2022	1664051336	3	327	330	327
Sat Sep 24 23:28:56 2022	1664051336	3	329	332	327
Sat Sep 24 23:28:56 2022	1664051336	2	330	332	329
Sat Sep 24 23:29:06 2022	1664051346	0	345	345	343
Sat Sep 24 23:29:00 2022	1664051340	0	345	346	344
Sat Sep 24 23:28:56 2022	1664051336	2	345	347	327
Sat Sep 24 23:28:56 2022	1664051336	2	348	350	345
Sat Sep 24 23:29:00 2022	1664051340	0	350	350	350
Sat Sep 24 23:28:56 2022	1664051336	2	348	350	345
Sat Sep 24 23:28:56 2022	1664051336	2	349	351	348
Sat Sep 24 23:28:56 2022	1664051336	3	348	351	346
Sat Sep 24 23:28:56 2022	1664051336	3	348	351	346
Sat Sep 24 23:28:56 2022	1664051336	3	349	351	346
Sat Sep 24 23:29:09 2022	1664051349	0	354	354	353
Sat Sep 24 23:29:00 2022	1664051340	0	354	354	353
Sat Sep 24 23:29:04 2022	1664051344	0	354	355	354
Sat Sep 24 23:29:09 2022	1664051349	0	356	356	354
Sat Sep 24 23:29:00 2022	1664051340	0	359	359	358
Sat Sep 24 23:29:00 2022	1664051340	0	362	362	362
Sat Sep 24 23:29:06 2022	1664051346	0	363	363	362
Sat Sep 24 23:28:56 2022	1664051336	3	360	363	359
Sat Sep 24 23:29:00 2022	1664051340	0	365	365	364
Sat Sep 24 23:28:56 2022	1664051336	2	365	367	361
Sat Sep 24 23:29:00 2022	1664051340	0	376	376	375
Sat Sep 24 23:29:00 2022	1664051340	0	380	380	379
Sat Sep 24 23:29:00 2022	1664051340	0	381	381	380
Sat Sep 24 23:29:06 2022	1664051346	0	387	387	386
Sat Sep 24 23:29:00 2022	1664051340	0	392	392	392
Sat Sep 24 23:29:06 2022	1664051346	0	395	395	393
Sat Sep 24 23:29:06 2022	1664051346	0	396	396	395
Sat Sep 24 23:29:00 2022	1664051340	0	397	397	396
Sat Sep 24 23:29:00 2022	1664051340	0	398	398	396
Sat Sep 24 23:29:00 2022	1664051340	0	398	398	398
Sat Sep 24 23:29:00 2022	1664051340	0	400	400	399
Sat Sep 24 23:29:00 2022	1664051340	0	403	403	402
Sat Sep 24 23:29:00 2022	1664051340	0	405	405	404
Sat Sep 24 23:29:00 2022	1664051340	0	410	410	401
