starttime	seconds	ctime	dtime	ttime	wait
Sat Sep 24 23:27:48 2022	1664051268	0	53	54	47
Sat Sep 24 23:27:48 2022	1664051268	5	111	116	110
Sat Sep 24 23:27:48 2022	1664051268	4	200	205	200
Sat Sep 24 23:27:48 2022	1664051268	4	210	215	209
Sat Sep 24 23:27:48 2022	1664051268	4	212	216	212
Sat Sep 24 23:27:48 2022	1664051268	4	228	231	227
Sat Sep 24 23:28:01 2022	1664051281	0	235	235	233
Sat Sep 24 23:28:01 2022	1664051281	0	257	257	257
Sat Sep 24 23:28:01 2022	1664051281	0	258	258	257
Sat Sep 24 23:28:01 2022	1664051281	0	292	292	292
Sat Sep 24 23:28:01 2022	1664051281	0	318	318	317
Sat Sep 24 23:28:01 2022	1664051281	0	320	320	319
Sat Sep 24 23:28:01 2022	1664051281	0	329	329	325
Sat Sep 24 23:28:01 2022	1664051281	0	330	330	330
Sat Sep 24 23:28:01 2022	1664051281	0	332	332	331
Sat Sep 24 23:27:48 2022	1664051268	3	335	338	334
Sat Sep 24 23:28:01 2022	1664051281	0	341	341	340
Sat Sep 24 23:28:01 2022	1664051281	0	343	343	333
Sat Sep 24 23:28:01 2022	1664051281	0	346	346	345
Sat Sep 24 23:28:01 2022	1664051281	0	346	346	346
Sat Sep 24 23:28:01 2022	1664051281	0	349	349	345
Sat Sep 24 23:27:48 2022	1664051268	0	351	351	350
Sat Sep 24 23:28:01 2022	1664051281	0	357	357	356
Sat Sep 24 23:28:01 2022	1664051281	0	357	357	357
Sat Sep 24 23:28:01 2022	1664051281	0	357	357	357
Sat Sep 24 23:27:48 2022	1664051268	4	354	358	353
Sat Sep 24 23:28:01 2022	1664051281	0	362	362	362
Sat Sep 24 23:28:01 2022	1664051281	0	365	365	365
Sat Sep 24 23:27:48 2022	1664051268	5	361	366	361
Sat Sep 24 23:28:00 2022	1664051280	0	368	368	368
Sat Sep 24 23:27:48 2022	1664051268	4	368	372	368
Sat Sep 24 23:28:01 2022	1664051281	0	377	377	376
Sat Sep 24 23:27:48 2022	1664051268	4	375	379	374
Sat Sep 24 23:28:01 2022	1664051281	0	381	381	381
Sat Sep 24 23:28:01 2022	1664051281	0	382	382	380
Sat Sep 24 23:28:01 2022	1664051281	0	385	385	384
Sat Sep 24 23:28:01 2022	1664051281	0	385	385	384
Sat Sep 24 23:28:01 2022	1664051281	0	385	385	384
Sat Sep 24 23:27:56 2022	1664051276	0	386	386	385
Sat Sep 24 23:28:01 2022	1664051281	0	386	386	376
Sat Sep 24 23:28:01 2022	1664051281	0	387	387	387
Sat Sep 24 23:27:56 2022	1664051276	0	388	388	387
Sat Sep 24 23:28:01 2022	1664051281	0	388	389	387
Sat Sep 24 23:28:01 2022	1664051281	0	389	389	389
Sat Sep 24 23:27:48 2022	1664051268	3	387	391	381
Sat Sep 24 23:28:00 2022	1664051280	0	392	392	391
Sat Sep 24 23:28:01 2022	1664051281	0	395	395	394
Sat Sep 24 23:27:56 2022	1664051276	0	396	396	396
Sat Sep 24 23:27:48 2022	1664051268	3	396	399	394
Sat Sep 24 23:27:57 2022	1664051277	0	408	408	408
Sat Sep 24 23:27:48 2022	1664051268	0	408	408	407
Sat Sep 24 23:28:01 2022	1664051281	0	410	410	409
Sat Sep 24 23:27:48 2022	1664051268	0	410	410	409
Sat Sep 24 23:28:02 2022	1664051282	0	412	412	411
Sat Sep 24 23:28:00 2022	1664051280	0	412	412	412
Sat Sep 24 23:28:01 2022	1664051281	0	414	414	413
Sat Sep 24 23:27:48 2022	1664051268	4	411	414	405
Sat Sep 24 23:27:48 2022	1664051268	0	416	416	415
Sat Sep 24 23:27:48 2022	1664051268	3	415	418	409
Sat Sep 24 23:27:48 2022	1664051268	4	416	420	410
Sat Sep 24 23:28:01 2022	1664051281	0	422	422	421
Sat Sep 24 23:28:01 2022	1664051281	0	423	423	422
Sat Sep 24 23:28:00 2022	1664051280	0	423	423	423
Sat Sep 24 23:27:56 2022	1664051276	0	424	424	422
Sat Sep 24 23:28:01 2022	1664051281	0	426	426	426
Sat Sep 24 23:27:56 2022	1664051276	0	428	428	425
Sat Sep 24 23:27:48 2022	1664051268	0	430	430	429
Sat Sep 24 23:28:01 2022	1664051281	0	433	434	433
Sat Sep 24 23:27:48 2022	1664051268	4	433	437	429
Sat Sep 24 23:28:01 2022	1664051281	0	440	440	439
Sat Sep 24 23:28:00 2022	1664051280	0	442	442	441
Sat Sep 24 23:28:01 2022	1664051281	0	443	443	441
Sat Sep 24 23:28:01 2022	1664051281	0	444	444	443
Sat Sep 24 23:27:48 2022	1664051268	0	446	446	445
Sat Sep 24 23:28:00 2022	1664051280	0	446	446	446
Sat Sep 24 23:28:01 2022	1664051281	0	447	448	447
Sat Sep 24 23:28:01 2022	1664051281	0	449	449	393
Sat Sep 24 23:28:01 2022	1664051281	0	449	449	447
Sat Sep 24 23:28:01 2022	1664051281	2	447	449	446
Sat Sep 24 23:27:51 2022	1664051271	1	449	450	448
Sat Sep 24 23:28:01 2022	1664051281	0	450	450	449
Sat Sep 24 23:27:48 2022	1664051268	3	447	450	445
Sat Sep 24 23:27:50 2022	1664051270	0	450	450	450
Sat Sep 24 23:27:48 2022	1664051268	4	448	452	441
Sat Sep 24 23:27:48 2022	1664051268	4	448	452	446
Sat Sep 24 23:28:01 2022	1664051281	0	454	454	452
Sat Sep 24 23:28:01 2022	1664051281	0	454	454	453
Sat Sep 24 23:27:48 2022	1664051268	0	455	456	455
Sat Sep 24 23:27:56 2022	1664051276	0	456	456	456
Sat Sep 24 23:28:01 2022	1664051281	0	458	458	457
Sat Sep 24 23:28:01 2022	1664051281	0	459	459	458
Sat Sep 24 23:27:48 2022	1664051268	4	456	460	454
Sat Sep 24 23:27:48 2022	1664051268	4	457	460	456
Sat Sep 24 23:27:57 2022	1664051277	0	461	461	460
Sat Sep 24 23:28:00 2022	1664051280	0	462	462	456
Sat Sep 24 23:28:01 2022	1664051281	0	463	463	463
Sat Sep 24 23:28:01 2022	1664051281	0	464	465	458
Sat Sep 24 23:27:48 2022	1664051268	0	466	466	465
Sat Sep 24 23:28:02 2022	1664051282	0	466	466	466
Sat Sep 24 23:27:57 2022	1664051277	0	467	467	466
Sat Sep 24 23:27:57 2022	1664051277	0	468	468	446
Sat Sep 24 23:27:58 2022	1664051278	0	468	468	459
Sat Sep 24 23:28:02 2022	1664051282	0	470	470	469
Sat Sep 24 23:28:00 2022	1664051280	0	471	471	433
Sat Sep 24 23:27:48 2022	1664051268	0	471	471	471
Sat Sep 24 23:28:01 2022	1664051281	0	472	472	471
Sat Sep 24 23:27:57 2022	1664051277	0	473	473	472
Sat Sep 24 23:28:00 2022	1664051280	0	473	473	472
Sat Sep 24 23:28:01 2022	1664051281	0	473	473	472
Sat Sep 24 23:27:56 2022	1664051276	0	473	473	472
Sat Sep 24 23:27:48 2022	1664051268	0	475	475	474
Sat Sep 24 23:28:01 2022	1664051281	0	478	478	477
Sat Sep 24 23:27:57 2022	1664051277	0	479	479	448
Sat Sep 24 23:27:48 2022	1664051268	3	475	479	474
Sat Sep 24 23:27:48 2022	1664051268	4	476	480	474
Sat Sep 24 23:27:48 2022	1664051268	4	476	480	474
Sat Sep 24 23:27:48 2022	1664051268	4	476	480	474
Sat Sep 24 23:27:48 2022	1664051268	4	476	480	474
Sat Sep 24 23:28:02 2022	1664051282	0	480	480	480
Sat Sep 24 23:27:58 2022	1664051278	0	481	481	479
Sat Sep 24 23:27:48 2022	1664051268	0	481	481	455
Sat Sep 24 23:27:58 2022	1664051278	0	482	482	481
Sat Sep 24 23:27:48 2022	1664051268	3	480	483	479
Sat Sep 24 23:28:01 2022	1664051281	0	485	485	484
Sat Sep 24 23:28:01 2022	1664051281	0	487	488	487
Sat Sep 24 23:27:48 2022	1664051268	4	484	488	482
Sat Sep 24 23:28:01 2022	1664051281	0	489	489	488
Sat Sep 24 23:27:57 2022	1664051277	0	490	490	481
Sat Sep 24 23:27:48 2022	1664051268	3	488	490	306
Sat Sep 24 23:27:48 2022	1664051268	3	488	491	293
Sat Sep 24 23:28:01 2022	1664051281	0	493	493	474
Sat Sep 24 23:27:58 2022	1664051278	0	493	493	493
Sat Sep 24 23:28:00 2022	1664051280	0	494	494	494
Sat Sep 24 23:27:48 2022	1664051268	4	490	495	490
Sat Sep 24 23:28:01 2022	1664051281	0	495	495	488
Sat Sep 24 23:28:01 2022	1664051281	0	497	497	497
Sat Sep 24 23:28:01 2022	1664051281	0	498	498	497
Sat Sep 24 23:27:54 2022	1664051274	0	501	501	500
Sat Sep 24 23:27:57 2022	1664051277	0	502	503	502
Sat Sep 24 23:27:57 2022	1664051277	0	504	504	499
Sat Sep 24 23:28:00 2022	1664051280	0	504	504	503
Sat Sep 24 23:27:57 2022	1664051277	0	505	505	501
Sat Sep 24 23:27:48 2022	1664051268	0	508	508	507
Sat Sep 24 23:27:48 2022	1664051268	4	505	509	504
Sat Sep 24 23:27:48 2022	1664051268	3	506	509	505
